user_id,recency,frequency,monetary,avg_order_value,Cluster,agg_cluster
"AE3S2ZAEMH765KUJ57DR6HBZBB3Q,AHSIVUNTJMI5S5AJGFDE5EDQ355Q,AGQUDHVCMBW7DYS2HT5HA3QCZIEA,AFNXZNINQLTHKVRFI37VQAAFFGOA,AGVKQNHNS7PQK63FIB6EVC5GUAMQ,AEHZ4NOZ5SIDQLGODWS4UZ6RVQJA,AGBVAEUPMWYCDQIKNAD2DXEYWXZA,AEOJW7OWUZROZ6Z66ZQU33Y2ZYLQ",545,1,272.0,272.0,0,0
"AE3SQVHSPJCIM3FT4MYLZOLX2ZSA,AGVJFS4QXURZUT34VBLXILIVA64A,AEC3CTKKV26PO32KOGUKKABJ4OAA,AFWLMSZPLJIABG6W6IFSFLEVHETA,AGZGIO6G2BKPLG4SN6O4ZRQOA54Q,AH3NLKVBUDIHF6LUVBM3CJI4WFXQ,AH43NCUTAEIE2WGCFN3DV6PM5LTQ,AE4CJM43GFS4KYQVZRKJSGM5MIPA",1060,1,99.0,99.0,0,0
"AE3T4QKW5KPNX5VAVCS5K43WSESQ,AECKXEN7R2D54DHRZIB6JYNXLU4Q,AHZTLZNYRSIEOCNNYMQCXWTWA62Q,AEWBJR5EYL5RCKUPUMG52JU2273A,AHWX4CNRSPTA5O3ZVOEKOUW6X6DA,AGV63VPYLUSZSWULWUIOXW446K3Q,AH6I4KMBDUUVG25ZEN636KJP7DQQ,AHHSKRWWN3SB6GQPEDWWIFS7NBIA",328,1,616.0,616.0,0,0
"AE42EZDBUFSJZGL66F275G54PSUA,AHFGOPCKQ4SMDFRKGLYFOAKTYXUA,AHW2UJ6K5LK5BL7LHAD72ZGWJ4MA,AEPWUTZXVJGKU724YMMK4AFRB73Q,AGJ3RV3MOS7D4IMNR7PHFGTDGKPA,AFUWFYMER6VM4ARW5VTGF3KEYM5A,AGFVVKJUZWYWIXOOMYTJYRV4ZSZA,AEL4TWNZSN7KFL3W76ADWINWR6KA",448,1,799.0,799.0,0,0
"AE42ODBABKBHKRL2PW5XSBEB2IWQ,AFZVZZKBT4ICJLQIMTJ2ZK44UMIQ,AHZDTJJ7PM3GN33LCJB2YWN4QCZA,AEZ25F4GGF4YOFE6XLJ2SN6TNRGQ,AECUHYUPESWI2DB5JMEZQF77VWOA,AEJJNCWMRDOBBFSPLRZQ6BPGI3OA,AFK3PX2HPROWVOD27NFYCUDWKRGQ,AG67OUXW2WVTJESMZA7F2RPZXWGQ",423,1,1625.0,1625.0,1,0
"AE4755NP2P2WIA3W6UZ4GBQUMYJQ,AGWJM4UXHNXL35HZ2RI6VJSH5KLQ,AH5Y43O2IZ3KNXE766GJMNEVTYZQ,AFQEZSS2I5IGAKZY3Y3CGDZLCJIA,AGHZSEUC44TVE5MU6KPGKEPS6ORA,AEJHCNCKOWWSZBGYQZF34SCZVKZQ,AEOAQQUIW5XQW2XAAIMHD34MNHAA,AEHANMVD4Q7UEQ2XXSW7XW72EJKQ",17,1,229.0,229.0,0,0
"AE4DPKX5AMUCEWM4543JPWAZVA2A,AH2F6TKL4URXVF2VLVALIU3LA37A,AH4TRU2DCGNKR6IR7W2RIZ5VGILQ,AH7JD2XKCXB32VIEPM4ZMZPFOWGQ,AGUN5Y5M3I3FV5N22KYZUKPU46GA,AGUFGA3PLAEHPSQFXRBSE6LUTOIQ,AH3E36EPFQ2YJEZWSCIN3TQKYWLQ,AFXQA7YBNBU7CB6QVQ7MYYUDP3LA",1223,1,399.0,399.0,0,0
"AE4L3MBEACOHT7Y7GGWQ72DUJ6SA,AELHNY42N2WPTZN5R42GOW2RO5SA,AG5ST5LJL5DUIYA5AH5V4EFXO4JQ,AG5V75LPUVIVS3DFZNN4UEK2FBJA,AEQSYGYF7LVSIVQEEXPC6VCMLBJQ,AH4OBRDNZVTVDLWTAV2V3B422AVQ,AHTBKWSU5IG46LZWJ3QQZKL6LTJA,AFKSCELXRYLARIVIXIWJQPHL5AHQ",142,1,1799.0,1799.0,1,0
"AE4XKNCRFDT42UVC2DCKMIXW4MVQ,AFF4VJIKK6EL5VW7Z7QZGE2JAG6Q,AEV7WXLS2DB6RQA4TZIZ3A3E5L3Q,AGQUCM3GAU6HWOILIQRBR73AAR6A,AFRRHZVMJ63DSEXGYKGIGH7QJYJQ,AE5B4IQUTNKHTVKOPXPIZF7BSVCQ,AHQTD5TF5VW5IPOSAGIZ7VYFB66A,AFHJSGFTBH6DO62VXXNYJWTRC5JA",767,1,745.0,745.0,0,0
"AE556ASSODHNECNYDEABP6Q7Z75Q,AESPTUXAQMTJ64NCR4QI5N6WL6HA,AEOVKYUJ6EB3K2D3CALSVWOITV6Q,AEAUQLBFFDELPJFM3F6JAIX4VWKA,AFEQDV6CWBY2Y4WS6ALF2BXU7VAQ,AHRRDBQR6IU4V4XBBLSJRRML3GQA,AH5BI7KKCSC6IZ2AS4XJZSQ7QO3A,AH2OKG3SYK3EHZWPVLNDVBVJCTSQ",72,1,279.0,279.0,0,0
"AE55KTFVNXYFD5FPYWP2OUPEYNPQ,AE7UFVGPV7KYAP74UQJAQYE5PEDQ,AGCMESD262GPMVIP77LD57FWCOSQ,AGHNDMYRUJOLLYU3ZCO7FZJOFJUA,AFARAZP3IF343NCQTLZA27FJNIQQ,AEGGIMWBMF527D35B4MPSIRF7I3A,AFXYNRL37KVTOBVKIVMSHZPZWBCQ,AF7Z6AXMT4QMKJNV6CH6XRIVGVPQ",1026,1,134.0,134.0,0,0
"AE57EASYAUGIY3LHBP7QIOETS7IA,AEIGU5AK2I65SNMDBAHWSHIONC6Q,AFT7I5VC6EBJ6RQRYTGRLAG3HXUQ,AFFBQAX7B4JEDSFQO5YV2N53DZQA,AEIBNPVAOVFKRMNCG7WQBP3KD6LA,AGTIJUTFLQK2XPPQ6CYRFIRIFB7A,AGYJCHWOAP3BOVRZTI4X2BDJVMVA,AG6FIMS4K4KZ2ZEJMESRMWXFYFXQ",300,1,1448.0,1448.0,1,0
"AE5B5BRM3KRUUMGH2DOGYGFHAEAA,AFY5TPNWXE2RPD5FGQR3WHF3J27Q,AFH3LWABFWVDV36O4EA7EDMVB7OQ,AGVLQO56YOIYSE6RU3B634QL325Q,AE56AJOPJC6V2NF73NNWOLPERPXA,AHWBMGU2SOK2A2UZBXGWF5O7QCMA,AEVYMGVYSOXKLLJGQNUBA63NQXOQ,AFT7U6QBELQJ5BQILAGPDITY26FA",568,1,2025.0,2025.0,1,0
"AE5CXOIK2XJRKPRSKOXHICJHG3UQ,AEMURPMQFSRYZ5R7IKBPIGUEES2A,AHIV6ODNO4FNGOPKPP3HBN5O5X4Q,AGUOJUMISWCWPU7XMVMFQJKZ6OKA,AEXWFPDY7TBIL3CFRZO5BEHA76IA,AGR33RA3JZDOYDL7SJBWTHYKLZHA,AGKBZLURQIRK76CSDFFRHIZSUXOA,AHPJA5BHHKC6VNMIPWMB3R66LXGA",224,1,2899.0,2899.0,1,1
"AE5D3EMPETKIA4VU4SZU5UIHXKQA,AFF76KWKCMR6GNPUXKEBO3N5YTZA,AEXM7ZELXVFNAKRTVDJ5RAK42KRQ,AHYHKNM6SBOIEHGTSR3YR4QMEZMQ,AHYDPSGRW6OTHG2H7LYZVV6SHZ4Q,AGQQ5W4LCISBHXT54SYYCIS75C2Q,AGLAQV6LP4AXJCMGURQX3OUNTYJQ,AHTBXGFU2EAF5DIC3PT2MVAN2BFA",540,1,150.0,150.0,0,0
"AE5DHPL6NSPL4NZU5YM6P2U67ZSQ,AFGLK3RB6EJGURQ7WAJ5OCSYZVZQ,AHCEM32SEYJBW2IHJIAF62AVK4VQ,AGUP3L3UQTAMC3O7ML4OKIQMZJGA,AGZWO6D4BGO7B4PZ57VBFVKYARIQ,AGZTEQUP744MNZ7EOTLOHQSA6CWA,AFTKUCFRMCTXZQTTCJZLOSNFVTDQ,AFUVA7UIKBWGLYUMDJ5AUS64V2QA",949,1,2499.0,2499.0,1,1
"AE5DRZFQN56UNHWLA6RSKDLDXU3Q,AH7G7F5V6NZQTXGNBULKUK4X6UXQ,AEYISFG3PXSZTUJS67PADHKW55NQ,AFT2SBIE45E3P46X2VFYXXR7JTDA,AETRLDW2AUAQJPHLEUIYFEZBBU5Q,AGOXIKCKLMADHJXOXLKL2XKPA3BA,AHTDOMYCLQT2RTXY3HVZBMCDCI5A,AEUMGPKAO6GBV56NJMU4XM5S76EQ",232,1,1999.0,1999.0,1,1
"AE5FZ5B3EEES45Q26PNUBTJ5DRYA,AGL2B432J2VDHOSUWTQ6KOAS6AMQ,AFWPWQ32B7BLW23MWYFHGYLNGUCA,AFNUTTGM5CBUQEYWPEQ57UABIHAQ,AFYLL7VANUJZ6M4L3277TRRERA5Q,AH3VEJH6HMUCM37ZZNCMRNPY6S3A,AE4BFRYLLJQRZJLJ755OH7DYIE4A,AF2LCSDV3YQRDO3B3ZTEEFLFNLLQ",7,1,949.0,949.0,0,0
"AE5JR5HPVSNYE3USXPC5DD5QZPEQ,AGTCKJGZ3Z6MWRYDZBR3BBJSFYZQ,AFFOKWDBWHTD73ESMLG5EHU6D64Q,AEBJF5IZ4I3DJKCO5DFA6UPGX3NA,AG7BFEWBPUBPVFTK47EIJDAYUBNQ,AG37JNOSIVJOXSZEPVVPPBFCS56Q,AHIF77XCTU4RPZQLTOMGSXQAJIQA,AFUHQIJJYON4KDALBU5NF4TOUAFQ",663,1,1399.0,1399.0,0,0
"AE5LEWHQDGISBMSHQ3QRHVAO5ROQ,AHFZEHT2WQTE2ZR4SJHYNJNNST3Q,AFEMOLRLTEKGCITTKW5GIJLWG5EA,AESB5HS3GAAD5WYPYR2KUIIQRKMA,AFISQSPSCQ5GMHX7TIWHTIQL25MA,AFFHXQP3EVBLE64PWCSJKA67WJBQ,AGTOHOQW6ZML3FQTOVOB3G5VOIJQ,AEHF6MHN4CV3UGP6HKGFX5YVOUIA",356,1,1099.0,1099.0,0,0
"AE5VN6K6A4NJNWVYSEWB62MA3GMA,AGJE2YGFQDWL6E6O3XOBPQ3YJIHQ,AEG3CL326V5AJNOLTC2BCUTR6NHQ,AF2L335C5YSJANG7RGOAGSFB6J3A,AFBUKSAGU3IQF6O63H3C52YQ3KDA,AEWN45SDFVQU23BOZRMYOYRAIVNA,AGRGAYQYSNND6OH2E5YMILNQLBBQ,AE4LFM6DUWG3H3L2O7BRXRDWMPQA",679,1,1299.0,1299.0,0,0
"AE5X7F5K6HASKKQZGUJEF3VZFRRQ,AEKVSWRDHUU76ES43EFWKAWTDYGQ,AF2CYQ4QUO4JYJDIRRB5R3YZHYCA,AGXAFZHSGPYKI3IF3CUMM3FKCT3A,AF5H5CZXXSPIJL6A7CRZRJQPMJWQ,AFMFLXBICTWGULWCOSXF6BRBQCNQ,AHUVRK6VJOSRKW2RAD6PXS4YVCUA,AGP365OHRJ23BJZKPU3GJ7NVQHVA",1066,1,529.0,529.0,0,0
