antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'B08Y1SJVV5'}),frozenset({'B08Y1TFSP6'}),0.0016792611251049538,0.0016792611251049538,0.0016792611251049538,1.0,595.5,1.0,0.001676441207178665,inf,1.0,1.0,1.0,1.0
frozenset({'B08Y1TFSP6'}),frozenset({'B08Y1SJVV5'}),0.0016792611251049538,0.0016792611251049538,0.0016792611251049538,1.0,595.5,1.0,0.001676441207178665,inf,1.0,1.0,1.0,1.0
